Project Name,Project Description,Project Type,Project Manager,Region,Department, Project Cost , Project Benefit ,Complexity,Status,Completion%,Phase,Year,Month,Start Date,End Date
Disruptor Training,"Associations Now Provides A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. Our Easy-To-Use Platform Makes It Easy Setup, Test, And Publish Content For Your Business.",INCOME GENERATION,Yael Wilcox,South,Admin & BI," 3,508,173.00 "," 8,762,992.00 ",High,On - Hold,75%,Phase 5 - Measure,2021,5,5/1/2021,8/1/2021
A Salute To New Workers,"Every Year, Entrepreneurs And Startups Write Thousands Of Blog Posts And Press Releases. Those Who Succeed See Their Search Traffic And Revenue Skyrocket, While Those Who Fail Either Give Up Or Waste Tons Of Time And Money. Enables You To Run Ahead Of The Competition By Optimizing Content, And Generating Content For You At Scale.",WORKING CAPITAL IMPROVEMENT,Aleena Khan,West,eCommerce," 2,534,102.00 "," 9,072,551.00 ",Medium,In - Progress,93%,Phase 3 - Plan,2021,5,5/1/2021,8/1/2021
Robust Routine,"In A Space Where A Huge Space For Play Is Created, Market Leaders Can Easily Die Out. To Maintain A Competitive Edge, You Need Marketing Trends That Help You Grow Your Audience, Grow Your Brand, And Grow Your Bottom Line. Associations Now Is The Marketing Tool Of Choice For Founders Who Want To Win.",PROCESS IMPROVEMENT,Yael Wilcox,South,Warehouse," 5,130,016.00 "," 9,165,877.00 ",Low,Cancelled,73%,Phase 4 - Implement,2021,5,5/1/2021,8/1/2021
Passion Chasers,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. Technology \N \N Ai-Powered Content Management System For Cmos",COST REDUCTION,Brenda Chandler,South,Supply Chain," 5,953,512.00 "," 8,586,905.00 ",Medium,Cancelled,89%,Phase 2 - Develop,2021,6,6/1/2021,9/1/2021
Switch And Swift,"We Do All The Content For You, And We'Re Obsessively Committed To Making Sure You Win. We'Re Like A Startup In A Big Company.",PROCESS IMPROVEMENT,Deacon Delacruz,North,eCommerce," 4,170,710.00 "," 8,848,636.00 ",High,Cancelled,72%,Phase 5 - Measure,2021,6,6/1/2021,9/1/2021
The Guy With Codes,"Is A Platform That Helps You Generate Scalable Content That Converts. ’S Ai Engine Allows You To Create Content That Will Outperform Competitors, Build Brand Awareness, And Maximize Conversions.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,Warehouse," 3,472,986.00 "," 9,125,362.00 ",Medium,Completed,100%,Phase 4 - Implement,2021,7,7/1/2021,10/1/2021
Hex Clan,"Allows Founders To Focus On What’S Important, Namely Their Core Business. Ai Takes The Work Out Of Determining Who Should Win The Content Marketing Battle, While ’S Proprietary Technology Help Founders Speed Their Content Production By Identifying Actionable Insights From Content Analysis.",PROCESS IMPROVEMENT,Jaylyn Mckenzie,South,eCommerce," 3,478,794.00 "," 8,846,264.00 ",Medium,Cancelled,82%,Phase 2 - Develop,2021,7,7/1/2021,10/1/2021
Limitless Horizons,Outside Offers A Solution For Founders Who Want To Win At Content Marketing—We Help You Create Optimized Content Faster And More Effectively With State Of The Art Ai Generation.,WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,Admin & BI," 4,413,449.00 "," 8,547,257.00 ",High,Completed,100%,Phase 4 - Implement,2021,8,8/1/2021,11/1/2021
The Wonders Of Geek,"Is Superior At What It Does. One Examination Of Our Databases Shows Us That, On Average, Competitors Create Content An Average Of 10 Days Before Us. With Our Ai At Work, That Gap Shrs To 2 Days.",INCOME GENERATION,Kamari Norris,South,Admin & BI," 3,440,225.00 "," 8,761,979.00 ",High,In - Progress,91%,Phase 3 - Plan,2021,9,9/1/2021,12/1/2021
Sputnik,"How Do Asos, Walmart, And Lululemon Do It? They Are All Wildly Successful Brands On The Internet Because They Are Constantly Pushing Out Content For Their Target Audience. However, With The Rise Of Ad Blockers, This Has Become Harder And Harder For The Average Internet Marketer To Achieve. Was Created To Provide An Answer! Uses Ai To Analyze The Competition For Your Topic And To Help You Create The Perfect Content Faster.",INCOME GENERATION,Kamari Norris,East,Warehouse," 2,900,355.00 "," 8,979,944.00 ",High,In - Progress,84%,Phase 1 - Explore,2021,10,10/1/2021,1/1/2022
Annual Award Show,"’S Online Content Marketing Solution Gives Content Creators The Power To Create Optimized Content Faster. With Our Sophisticated Ai Technology, It Is Easy To Reach An Audience Of Relevant, Interested People Without Spending Endless Hours On Content Development.",PROCESS IMPROVEMENT,Aleena Khan,East,Admin & BI," 5,505,123.00 "," 9,088,011.00 ",High,Completed,100%,Phase 3 - Plan,2021,10,10/1/2021,1/1/2022
Active Achievement,Helps Founders And Marketers Generate Better Topics And Content For Their Organization. We’Re A Software As A Service That Helps Organizations Compete Against Other Organizations By Leveraging Ai And Unique Algorithms To Provide Unique Points Of Differentiation And Competitive Edge.,INCOME GENERATION,Deacon Delacruz,North,Admin & BI," 2,548,471.00 "," 9,025,609.00 ",Low,Cancelled,78%,Phase 5 - Measure,2021,11,11/1/2021,3/1/2022
Static Startup,"If You Are Making Less Than $50,000 With Your Startup Company, You’Re In Luck. Companies Who Are Making Less Than That Are Eligible For The Associations Now Program. Associations Now Is An Algorithm That Helps Startups Find Niche Or Narrow Topics That Are Related To Your Industry Or Target Audience. It Is Like Word Of Mouth Marketing, But You Pay For It!",COST REDUCTION,Jaylyn Mckenzie,East,Admin & BI," 5,869,643.00 "," 8,802,862.00 ",High,Completed,100%,Phase 3 - Plan,2021,12,12/1/2021,3/1/2022
The Successful Project,"Our Content Automation Is 100% Customizable--Creating High Quality Content, With Optimized Structure, That Is Shared Across All Social Media Channels. We Automatically Generate Content For You By Scanning The Sites Of Your Competition--Allowing You To Never Be Caught Off Guard Again. Additionally, Offers A Service That Will Help You Generate The Content For Your Site--So You Can Spend More Time Growing Your Brand, And Less Time On Content Creation.",WORKING CAPITAL IMPROVEMENT,Deacon Delacruz,East,Supply Chain," 5,974,815.00 "," 8,973,631.00 ",Low,Cancelled,86%,Phase 5 - Measure,2022,1,1/1/2022,5/1/2022
Excalibur Training,"Attention, Founders. We Automatically Generate Content For You By Scanning The Sites Of Your Competition--Allowing You To Never Be Caught Off Guard Again. Additionally, Offers A Service That Will Help You Generate The Content For Your Site--So You Can Spend More Time Growing Your Brand, And Less Time On Content Creation.",INCOME GENERATION,Brenda Chandler,West,Sales and Marketing," 3,814,857.00 "," 8,529,903.00 ",Low,Cancelled,84%,Phase 5 - Measure,2022,2,2/1/2022,6/1/2022
Enter Coding,"Registered As An Llc, Company Is Working To Match Your Brand With The Perfect Audience.",PROCESS IMPROVEMENT,Nyasia Hunter,South,Warehouse," 2,871,386.00 "," 8,694,563.00 ",Low,In - Progress,86%,Phase 2 - Develop,2022,3,3/1/2022,6/1/2022
Code Poltergeists,"We Promised Our Founders A High-Quality Product, A Profitable Business, And A Successful Startup Dealing With A Hot Issue Or Pain Point. We Also Promised That Today’S Top Brand Content Marketers Would Have A Tough Time Beating Our Products. That’S Why We Created Incker, A Unique Ai Solution That Can Generate Content Your Audience Will Never Get Enough Of.",INCOME GENERATION,Aleena Khan,North,Warehouse," 3,201,907.00 "," 8,800,186.00 ",High,Cancelled,77%,Phase 4 - Implement,2022,3,3/1/2022,6/1/2022
Great Leadership,"Is For Founders With Content Marketing On Their Minds. Imagine Being Able To Find Your Targeted Customer On Instagram In Seconds, Share Your Content On The Same Platform Automatically, And Then Use These Insights To Create New Metrics Based On Your Audience’S Engagement.",INCOME GENERATION,Aleena Khan,West,Admin & BI," 5,609,775.00 "," 9,084,256.00 ",High,Completed,100%,Phase 3 - Plan,2022,4,4/1/2022,7/1/2022
Charged By Codes,’S Marketing Solution Is Smart Marketing Software That Helps Founders Find Their Audience And Reach The Influencers That Could Launch Their Brand.,PROCESS IMPROVEMENT,Yael Wilcox,South,eCommerce," 5,044,306.00 "," 8,752,182.00 ",Low,Completed,100%,Phase 1 - Explore,2022,4,4/1/2022,7/1/2022
Center For Creative Coding,"Intelligently Creates Seed Content For You With Immediate Impact, So You Can Spend Less Time On Content That Works. Uses Deep Understanding Of The Editorial Calendars Of The Most Influential Publishers In The World To Push The Right Content To The Right People. We Use Ai To Analyze Your Competitors, So You Can Begin To Dominate With Content Marketing.",PROCESS IMPROVEMENT,Yael Wilcox,North,eCommerce," 2,931,685.00 "," 8,971,678.00 ",Medium,On - Hold,77%,Phase 1 - Explore,2022,4,4/1/2022,7/1/2022
The Principal Of Change,"Is The Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Kamari Norris,North,Sales and Marketing," 3,730,999.00 "," 8,715,081.00 ",Medium,In - Progress,77%,Phase 1 - Explore,2022,4,4/1/2022,7/1/2022
Orange Leaders,"Is A Solution For Brands And Bloggers To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help Create Optimized Content Faster, With State Of The Art Ai Generation. Unlike Machine Learning Which Takes Days For Results, Delivers Content In Less Than 2 Hours.",INCOME GENERATION,Aleena Khan,North,Admin & BI," 4,502,248.00 "," 9,011,638.00 ",Medium,In - Progress,77%,Phase 5 - Measure,2022,5,5/1/2022,8/1/2022
Associations Now,"Is A Start-Up That Is Changing The Way We Th About Content Marketing. From Your Ideation Phase To Content Creation To Post-Launch Optimization, We Help You Compete In A Competitive Market By Optimizing The Content In Realtime And Inefficiencies And Inefficiencies And Inefficiencies And Inefficiency Inefficiency Inefficiency Inefficiencies.",WORKING CAPITAL IMPROVEMENT,Nyasia Hunter,East,Sales and Marketing," 2,450,782.00 "," 8,470,209.00 ",Medium,On - Hold,91%,Phase 5 - Measure,2022,6,6/1/2022,9/1/2022
Coding Region,"Is Built For Entrepreneurs And Creators Who Want To Beat Their Goals And Win At Content Marketing. With State Of The Art Ai Capabilities, We’Ve Developed A Proprietary Engine That Helps You Create Your Optimized Objective Content Faster Than Ever Before, And It’S Without Any Employees. Simply Plug In The Topic Of Your Choosing And Let Our Ai Do The Rest.",PROCESS IMPROVEMENT,Deacon Delacruz,North,Supply Chain," 3,718,103.00 "," 9,127,150.00 ",Low,Cancelled,87%,Phase 1 - Explore,2022,6,6/1/2022,9/1/2022
"Linkage, Inc.","Rebranding Is An Art, And Associations Now Is Your Main Tool. Engage New Customers And Keep Existing Ones With Custom-Tailored And Personalized Content And Experiences And An Easy-To-Use Interface.",INCOME GENERATION,Brenda Chandler,West,eCommerce," 5,913,478.00 "," 9,096,409.00 ",Medium,Cancelled,74%,Phase 1 - Explore,2022,6,6/1/2022,9/1/2022
The Success,5-15% Of Your First Product Sale Is The Payback.,INCOME GENERATION,Yael Wilcox,South,eCommerce," 2,631,019.00 "," 8,584,025.00 ",Low,Completed,100%,Phase 3 - Plan,2022,7,7/1/2022,10/1/2022
Yoda,"A New Method For Creating Content Is On The Horizon. Instead Of Grinding Away At A Text Editor, Is A Brand New Solution For Founders Who Want To Win At Content Marketing. By Using A Proprietary Ai, Analyzes The Competition For Your Topic Online Based On The Density Of Articles (Seo), Average Length (Ltv), Content Analysis (Average Article Quality), And Other Popular Ranking Factors To Act As Your Content Marketing Coach. This Means You Can Create Optimized Content Faster With State-",COST REDUCTION,Yael Wilcox,North,Admin & BI," 5,859,707.00 "," 8,697,391.00 ",Medium,In - Progress,80%,Phase 4 - Implement,2022,7,7/1/2022,10/1/2022
Match Of Health,Quickly Identify Who Your Competition Is On Any Given Topic-Using Ai Learn How To Create Optimal Content Faster With State Of The Art Ai Generation-Compete On Topics Across Industries-Discover What Content Works,COST REDUCTION,Kamari Norris,West,eCommerce," 4,172,827.00 "," 8,942,009.00 ",High,In - Progress,75%,Phase 1 - Explore,2022,7,7/1/2022,10/1/2022
Yaeger,"""15 Five"" Is The World Most Sophisticated Content Marketing Ai Engine. We Bundle Our Ai With Our Service To Help Companies Climb Up The Middle.",INCOME GENERATION,Aleena Khan,East,Supply Chain," 4,249,668.00 "," 8,548,973.00 ",Low,In - Progress,89%,Phase 1 - Explore,2022,8,8/1/2022,11/1/2022
Fast & Creative Gang,"Completely Transform How Your Content Marketing Is Done. No Waiting, No Stressing, No More Out-Of-Date Content. We Make Content Strategy Accessible To Everyone. Our Artificial Intelligence (Ai) Platform Tells You What Content To Create, When To Create It, And How To Get Results. You Get Better Results, Happier Founders, And Get Positive Roi At The Same Time.",PROCESS IMPROVEMENT,Aleena Khan,North,Supply Chain," 3,156,318.00 "," 9,111,026.00 ",Medium,Completed,100%,Phase 3 - Plan,2022,8,8/1/2022,11/1/2022
The Coding Expert,"Hipaa-Compliant, Compliance Analytics. Automated Data Collection. Robust Web-To-Print.",PROCESS IMPROVEMENT,Yael Wilcox,East,Warehouse," 3,978,102.00 "," 8,488,880.00 ",Medium,In - Progress,79%,Phase 5 - Measure,2022,8,8/1/2022,11/1/2022
No-Bull Bootcamp,"Is The Only Ai-Enabled Content Marketing Tool That Helps Founders Win At Content Marketing. Built By Marketers For Marketers, Our Proprietary Ai Technology Analyzes The Competition For Specific Topics, And Our Content Generation Engine Provides State Of The Art Ai-Generated Content For Maximum Impact.",COST REDUCTION,Kamari Norris,West,Admin & BI," 2,745,999.00 "," 8,567,877.00 ",Low,Cancelled,88%,Phase 4 - Implement,2022,9,9/1/2022,12/1/2022
Search Engine Master,"Associations Now Is A Fully-Nightly, Optimized Content Marketing Platform That Won'T Just Create The Perfect Page For Your Associations, It'Ll Beat Anything Else Out There.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,West,eCommerce," 3,787,473.00 "," 8,726,782.00 ",Medium,Cancelled,77%,Phase 1 - Explore,2022,9,9/1/2022,12/1/2022
School Leadership 2.0,"Want To Win At Content Marketing? Is Here To Help. We Give You The Capability To Output Highly-Optimized, Contextual Content Through Ai-Generated Content In Minutes. You Can Build In Content In Minutes Without Having To Even Write Anything. Our In-House Ai Takes Care Of The Optimizing Of All Your Content For Your Industry And Audience.",COST REDUCTION,Kamari Norris,West,Supply Chain," 4,497,364.00 "," 9,022,111.00 ",High,Completed,100%,Phase 2 - Develop,2022,10,10/1/2022,1/1/2023
The Experienced Dude,"Gets You Up And Running Quickly By Creating A Compelling Content Plan For You Including A Depth Of Content, How To Optimize It, And A Detailed Budget.",INCOME GENERATION,Aleena Khan,South,Warehouse," 5,570,834.00 "," 8,429,375.00 ",Low,In - Progress,75%,Phase 4 - Implement,2022,10,10/1/2022,1/1/2023
Evening Shindig,"Is A Completely Different Way Of Creating Content\N\Nai Generates As-Human-Ly As Possible. In Seconds, Your Topics Become Insanely Crisp, Resonating With Your Target Audience. Allowing You To Spend Hours More Writing And Refining That Perfect Copy, Rather Than Squinting At A Spreadsheet And Grasping At Straws. Our App Empowers You To Share And Sell Your Content And Goes Behind The Scenes To Help You Understand Your Products And Services, And More Importantly Your Products And Services",WORKING CAPITAL IMPROVEMENT,Kamari Norris,East,Supply Chain," 3,472,531.00 "," 9,084,736.00 ",Low,Cancelled,83%,Phase 3 - Plan,2022,11,11/1/2022,3/1/2023
The Morning Ceremony,Lead With Content Optimization Plans In Place In Advance Of Your Next Pr Push. Helps Your Media Team Create Content In Advance Of Your Next Pr Push. The Ai Helps You Optimize For Future Content In Order To Win In The Game Of Content Marketing.,WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,Supply Chain," 4,802,423.00 "," 8,780,231.00 ",High,In - Progress,77%,Phase 5 - Measure,2022,11,11/1/2022,3/1/2023
Mentee To Mentor,"Content Is A Cornerstone Of Modern Building A Communications Strategy. It Informs And Engages Audiences, And Serves Consumers Well. However, A Seldom-Addressed Challenge For Marketers Is Building A Consistent Brand Based On Consistent Content That Stands Out With Consumers.",INCOME GENERATION,Nyasia Hunter,West,Admin & BI," 5,072,095.00 "," 8,665,889.00 ",Low,On - Hold,80%,Phase 4 - Implement,2022,11,11/1/2022,3/1/2023
The Code Honors,"Is The World First Content Marketing Platform Built For Founders And Other Small-To-Medium-Business Organizations. Using Proprietary Ai, We Use Ai Technology To Power Content Marketing For Our Entrepreneurs And Smbs. Get Your Roi With Smart Content Marketing And Your Business Will Never Be The Same",WORKING CAPITAL IMPROVEMENT,Brenda Chandler,East,Warehouse," 5,896,885.00 "," 8,539,690.00 ",Medium,Cancelled,88%,Phase 3 - Plan,2022,12,12/1/2022,3/1/2023
Road-To-Success Workshop,"Works With You To Win. You Can Get Started With 10 Days Free Trial.\N-Works With Any Size Company, No Matter Your Size\N-All Features Are Accessible From Our Wordpress Plugin",COST REDUCTION,Brenda Chandler,North,Admin & BI," 4,646,988.00 "," 9,006,076.00 ",Medium,Completed,100%,Phase 2 - Develop,2022,12,12/1/2022,3/1/2023
Code Change Group,Join Up With The Leader Of The Pack. All Founders Need To Win At Content Marketing,COST REDUCTION,Nyasia Hunter,North,Supply Chain," 5,412,530.00 "," 8,527,421.00 ",Medium,In - Progress,80%,Phase 2 - Develop,2023,1,1/1/2023,5/1/2023
Yellow Moose,Get Connected To The Right People & Knowledge,WORKING CAPITAL IMPROVEMENT,Brenda Chandler,North,Warehouse," 5,543,765.00 "," 8,769,988.00 ",Medium,On - Hold,77%,Phase 2 - Develop,2023,2,2/1/2023,6/1/2023
Moving Bird,"Allows You To Track And Optimize Your Content And Build A Personal Content Plan Tailored To You And Your Business Strategy. You’Ll Know How Well Your Content Is Performing And Understand How Different Versions, Versions Changes And Versions Versions Compare Against Your Content Targets.",COST REDUCTION,Deacon Delacruz,West,Supply Chain," 4,505,069.00 "," 8,478,594.00 ",High,Completed,100%,Phase 1 - Explore,2023,5,5/1/2023,8/1/2023
Ceremony Worthy Of Time,Four-Minute Solution For Founders Of All Sizes.,PROCESS IMPROVEMENT,Kamari Norris,South,Warehouse," 4,013,283.00 "," 8,830,540.00 ",Low,On - Hold,79%,Phase 4 - Implement,2023,7,7/1/2023,10/1/2023
Leadership Minds,"It Just Not In The Script. Using Award-Winning Ai Technology, Helps Content Marketers Win With Content That Drives Results. Experts In Your Market Segment Align Your Content Strategy To Your Audience’S Needs.",COST REDUCTION,Aleena Khan,East,Supply Chain," 3,107,456.00 "," 9,040,473.00 ",Low,Cancelled,82%,Phase 2 - Develop,2023,7,7/1/2023,10/1/2023
The Art Of Codes,"Association Now Operates Like An Ai Editor, Working Invisibly Behind The Scenes To Help Brands Create Optimized Content. Associations Now Ai Platform Analyzes The Competition For Your Topic. When Your Ai Content Is Complete, It’S Custom-Printed, Personalized, And Delivered To Your Audience.",INCOME GENERATION,Brenda Chandler,North,Sales and Marketing," 5,643,858.00 "," 8,573,039.00 ",High,Cancelled,87%,Phase 5 - Measure,2023,7,7/1/2023,10/1/2023
The Coding Awards,"From The Wordpress Blog To The Tinder Blog, The Internet Is Flooded With Content. Growing Your Brand Online Has Never Been Easier. But, Today, Not All Content Is Good Content. Is The Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Algorithms And Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. The Result: You Eek Out A Marginal Edge In The Content Marketing",PROCESS IMPROVEMENT,Nyasia Hunter,North,Supply Chain," 4,612,925.00 "," 8,910,680.00 ",High,Cancelled,90%,Phase 4 - Implement,2023,8,8/1/2023,11/1/2023
Coding League,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. -Ai Analysis Of The Whole Competitive Landscape To Cookie-Cut Your Kpis For Content Marketing -Ai-Generated Optimized Content To Help You Build Rankings Faster -Industry-Specific Knowledgebase That’S Constantly Updated With Over 1,000+ White Papers -Ai-Generated Content To",WORKING CAPITAL IMPROVEMENT,Aleena Khan,West,Admin & BI," 5,949,337.00 "," 9,012,834.00 ",Medium,Cancelled,87%,Phase 4 - Implement,2023,8,8/1/2023,11/1/2023
Only Project Experience,"Is An Instant Answer For Content Marketing. It Was Built By Founders Who Want To Win At Content Marketing And Who Understand The Importance Of Interrupting Through Content. Builds, Executes And Manages Long-Term Strategy, And Generates Personalized Content For Your Target Audience.",INCOME GENERATION,Nyasia Hunter,East,Warehouse," 2,511,189.00 "," 8,776,602.00 ",High,On - Hold,91%,Phase 5 - Measure,2023,9,9/1/2023,12/1/2023
Meetup For The Good,"Is A New Content Marketing Platform That Replicates All Of The Work Of Our Competitor Top-Performing Content, Without Their Busy Workflow Of Copywriter, Editor, And Visual Designer.",INCOME GENERATION,Deacon Delacruz,East,Sales and Marketing," 2,745,287.00 "," 8,957,341.00 ",High,On - Hold,78%,Phase 2 - Develop,2023,9,9/1/2023,12/1/2023
White Feather,"The App Is The Perfect App For Marketers Who Want To Win At Content Marketing. With , You Can Use Ai To Analyze The Competition, Track Competitors’ Content, Generate Optimized Content, And Engage In Direct Competitor Outreach.",INCOME GENERATION,Yael Wilcox,South,Warehouse," 2,578,748.00 "," 9,069,084.00 ",Low,On - Hold,91%,Phase 5 - Measure,2023,9,9/1/2023,12/1/2023
Open Source Pundits,"When Founders Want To Win At Content Marketing, They Struggle With The Lack Of Content. Offers The Solution By Employing Ai To Analyze The Competition For Your Cause And To Help You Create Optimized Content.",PROCESS IMPROVEMENT,Aleena Khan,North,Supply Chain," 2,806,512.00 "," 9,016,356.00 ",Low,In - Progress,80%,Phase 2 - Develop,2023,9,9/1/2023,12/1/2023
Next Gala,"Founded By Former Founders Factory Co-Founders, Is A Solution For Founders Who Want To Win At Content Marketing. We Have Used Our Proprietary Ai To Analyze The Competition For Your Topic, And Optimize Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Aleena Khan,North,Warehouse," 3,261,249.00 "," 8,696,481.00 ",High,Completed,100%,Phase 2 - Develop,2023,11,11/1/2023,2/1/2024
Project Explained,"It All Starts With A Simple Tagline: ""Create The Content That Matters."" It An Exciting, Lucrative Tagline That The Core Of The Company Business.",INCOME GENERATION,Brenda Chandler,North,Admin & BI," 5,156,291.00 "," 8,519,274.00 ",High,Completed,100%,Phase 5 - Measure,2023,11,11/1/2023,2/1/2024
Commission Kings,"Is An Ai-Powered Marketing Platform That Helps Businesses Create Optimized Content Faster. It Uses Ai To Analyze The Competition To Find The Right Channels For Your Business, And Helps You Build Better Content For Any Market Using State Of The Art Ai Generation Technology.",COST REDUCTION,Deacon Delacruz,North,eCommerce," 3,014,053.00 "," 8,904,627.00 ",Low,Completed,100%,Phase 3 - Plan,2023,11,11/1/2023,2/1/2024
Celestial Interface,"Is A Solution For Founders Who Want To Win At Content Marketing And Standing Out In A Crowded And Competitive Marketplace. Now, You Can Create Content That Is Perfectly Targeted And Optimized With State-Of-The-Art Ai Generation. Ai Wireframes Your Content And Reveals Where Your Competition Is. That Keeps You Rolling, Wireframes Your Content And Reveals Where Your Competition Is. That Keeps You Rolling, And The Ai Generates Well-Crafted Content Without Ever Needing To Touch A Keyboard. The Software Works Like Magic",PROCESS IMPROVEMENT,Brenda Chandler,North,eCommerce," 4,569,504.00 "," 8,678,737.00 ",Low,In - Progress,73%,Phase 4 - Implement,2023,11,11/1/2023,2/1/2024
Stratos,"Is Your End-To-End Solution For Winning At Content Marketing. ’S Proprietary Ai Will Analyze The Competition For Your Topic, And Help You Create Optimized Content Faster With State-Of-The-Art Ai Generation.",COST REDUCTION,Jaylyn Mckenzie,East,Sales and Marketing," 2,429,395.00 "," 8,913,514.00 ",Low,In - Progress,74%,Phase 1 - Explore,2023,12,12/1/2023,3/1/2024
